node_idx,correct_mean,correct_std,correct_count,probability_mean,probability_std,is_train_first,is_val_first,is_test_first
0,1.0,0.0,100,0.3489,0.0085,False,True,False
1,0.0,0.0,100,0.2897,0.0068,True,False,False
2,0.0,0.0,100,0.3174,0.0074,True,False,False
3,0.0,0.0,100,0.2741,0.0082,False,True,False
4,1.0,0.0,100,0.3131,0.0074,True,False,False
5,0.0,0.0,100,0.2772,0.0066,True,False,False
6,0.0,0.0,100,0.2943,0.0067,False,False,True
7,1.0,0.0,100,0.3792,0.0274,True,False,False
8,1.0,0.0,100,0.3542,0.0083,True,False,False
9,0.0,0.0,100,0.276,0.0065,True,False,False
10,0.0,0.0,100,0.2888,0.0067,True,False,False
11,0.0,0.0,100,0.2884,0.0072,False,True,False
12,0.26,0.4408,100,0.2792,0.0091,True,False,False
13,1.0,0.0,100,0.3084,0.007,False,True,False
14,1.0,0.0,100,0.3091,0.0074,False,False,True
15,1.0,0.0,100,0.3364,0.008,True,False,False
16,0.0,0.0,100,0.2744,0.0063,True,False,False
17,1.0,0.0,100,0.3484,0.0094,True,False,False
18,0.0,0.0,100,0.2836,0.0067,True,False,False
19,1.0,0.0,100,0.314,0.0075,False,False,True
20,0.0,0.0,100,0.2769,0.0065,True,False,False
21,1.0,0.0,100,0.2931,0.011,True,False,False
22,0.0,0.0,100,0.2985,0.007,True,False,False
23,0.0,0.0,100,0.3076,0.0072,True,False,False
24,1.0,0.0,100,0.3618,0.0091,True,False,False
25,1.0,0.0,100,0.3336,0.0076,False,True,False
26,0.0,0.0,100,0.2976,0.0068,False,False,True
27,1.0,0.0,100,0.2993,0.007,False,False,True
28,0.0,0.0,100,0.285,0.0066,True,False,False
29,0.0,0.0,100,0.2749,0.0067,True,False,False
30,1.0,0.0,100,0.3632,0.0086,True,False,False
31,0.0,0.0,100,0.2729,0.0072,False,False,True
32,0.0,0.0,100,0.2893,0.0067,False,False,True
33,0.0,0.0,100,0.3118,0.0089,True,False,False
34,0.0,0.0,100,0.3048,0.007,False,True,False
35,0.0,0.0,100,0.2867,0.0065,True,False,False
36,0.0,0.0,100,0.2745,0.0065,True,False,False
37,0.0,0.0,100,0.2736,0.0071,False,True,False
38,0.0,0.0,100,0.3197,0.0077,False,False,True
39,0.0,0.0,100,0.278,0.0072,True,False,False
40,1.0,0.0,100,0.318,0.0075,True,False,False
41,0.0,0.0,100,0.2849,0.0065,False,False,True
42,0.0,0.0,100,0.28,0.0067,False,True,False
43,0.0,0.0,100,0.3218,0.0082,False,True,False
44,1.0,0.0,100,0.3599,0.0088,True,False,False
45,1.0,0.0,100,0.3282,0.0076,True,False,False
46,0.0,0.0,100,0.2706,0.0061,True,False,False
47,0.0,0.0,100,0.2804,0.0064,True,False,False
48,1.0,0.0,100,0.3757,0.0091,True,False,False
49,0.0,0.0,100,0.3058,0.007,False,True,False
50,0.0,0.0,100,0.2948,0.0069,False,False,True
51,1.0,0.0,100,0.3224,0.0075,False,True,False
52,0.0,0.0,100,0.292,0.0073,True,False,False
53,0.0,0.0,100,0.2912,0.0067,False,False,True
54,0.0,0.0,100,0.3045,0.0071,False,False,True
55,0.0,0.0,100,0.273,0.0066,False,False,True
56,0.0,0.0,100,0.2841,0.0066,True,False,False
57,1.0,0.0,100,0.306,0.0071,True,False,False
58,0.0,0.0,100,0.294,0.0065,True,False,False
59,0.0,0.0,100,0.255,0.0063,False,False,True
60,0.0,0.0,100,0.2957,0.0069,True,False,False
61,0.0,0.0,100,0.3074,0.0073,False,True,False
62,0.0,0.0,100,0.3008,0.0068,True,False,False
63,0.0,0.0,100,0.2899,0.007,True,False,False
64,0.0,0.0,100,0.2743,0.0063,True,False,False
65,0.0,0.0,100,0.2888,0.0075,True,False,False
66,0.0,0.0,100,0.3117,0.0077,True,False,False
67,0.0,0.0,100,0.2828,0.0065,True,False,False
68,0.0,0.0,100,0.3056,0.0071,False,False,True
