node_idx,correct_mean,correct_std,correct_count,probability_mean,probability_std,is_train_first,is_val_first,is_test_first
0,0.0,0.0,100,0.4434,0.0339,False,False,True
1,0.82,0.3861,100,0.2416,0.0052,False,True,False
2,1.0,0.0,100,0.2495,0.0074,False,True,False
3,1.0,0.0,100,0.6303,0.0477,True,False,False
4,0.33,0.4726,100,0.2407,0.0073,True,False,False
5,0.67,0.4726,100,0.2444,0.0062,True,False,False
6,0.89,0.3145,100,0.2627,0.0146,False,False,True
7,0.78,0.4163,100,0.2892,0.0174,True,False,False
8,0.0,0.0,100,0.2421,0.0052,False,True,False
9,0.49,0.5024,100,0.2479,0.0109,True,False,False
10,0.04,0.1969,100,0.2417,0.0123,True,False,False
11,0.68,0.4688,100,0.303,0.025,True,False,False
12,0.0,0.0,100,0.2421,0.0052,True,False,False
13,0.0,0.0,100,0.4195,0.0333,False,False,True
14,0.13,0.338,100,0.2991,0.0147,False,True,False
15,0.0,0.0,100,0.2786,0.0116,False,True,False
16,1.0,0.0,100,0.3085,0.01,False,True,False
17,0.05,0.219,100,0.2453,0.0087,False,False,True
18,0.19,0.3943,100,0.2421,0.0052,False,True,False
19,0.18,0.3861,100,0.2416,0.0052,True,False,False
20,0.01,0.1,100,0.2452,0.0066,True,False,False
21,0.0,0.0,100,0.2425,0.0069,True,False,False
22,0.0,0.0,100,0.2677,0.0132,False,True,False
23,1.0,0.0,100,0.429,0.0267,True,False,False
24,1.0,0.0,100,0.8415,0.0332,True,False,False
25,0.18,0.3861,100,0.2416,0.0052,False,False,True
26,1.0,0.0,100,0.3147,0.0183,False,False,True
27,0.0,0.0,100,0.255,0.0067,True,False,False
28,0.91,0.2876,100,0.2993,0.0214,True,False,False
29,0.0,0.0,100,0.2965,0.0135,False,False,True
30,0.0,0.0,100,0.2512,0.0103,False,False,True
31,0.94,0.2387,100,0.2455,0.0067,False,True,False
32,1.0,0.0,100,0.3322,0.0187,True,False,False
33,0.0,0.0,100,0.2405,0.0055,True,False,False
34,0.98,0.1407,100,0.2625,0.0101,False,True,False
35,0.82,0.3861,100,0.2416,0.0052,False,True,False
36,0.0,0.0,100,0.2454,0.0069,True,False,False
37,0.99,0.1,100,0.2885,0.0172,False,False,True
38,1.0,0.0,100,0.2862,0.0161,True,False,False
39,0.13,0.338,100,0.244,0.0056,True,False,False
40,0.01,0.1,100,0.2792,0.01,False,False,True
41,0.19,0.3943,100,0.2421,0.0052,True,False,False
42,0.81,0.3943,100,0.2421,0.0052,True,False,False
43,0.01,0.1,100,0.2429,0.0056,True,False,False
44,0.0,0.0,100,0.4343,0.0378,False,True,False
45,0.0,0.0,100,0.3823,0.0205,False,True,False
46,0.0,0.0,100,0.2796,0.0083,False,False,True
47,1.0,0.0,100,0.289,0.0107,True,False,False
48,1.0,0.0,100,0.2668,0.009,True,False,False
49,0.06,0.2387,100,0.2549,0.0101,True,False,False
50,0.19,0.3943,100,0.2421,0.0052,True,False,False
51,0.0,0.0,100,0.2326,0.0056,True,False,False
52,0.0,0.0,100,0.4104,0.0213,False,False,True
53,1.0,0.0,100,0.5693,0.0675,True,False,False
54,0.45,0.5,100,0.2354,0.0201,True,False,False
55,0.01,0.1,100,0.3549,0.0254,True,False,False
56,0.06,0.2387,100,0.2378,0.0082,False,False,True
57,1.0,0.0,100,0.3831,0.04,True,False,False
58,0.74,0.4408,100,0.2336,0.0074,False,True,False
59,0.02,0.1407,100,0.261,0.0072,False,True,False
60,0.29,0.456,100,0.2558,0.0126,True,False,False
61,0.82,0.3861,100,0.2416,0.0052,False,False,True
62,0.0,0.0,100,0.3272,0.0187,True,False,False
63,0.33,0.4726,100,0.2901,0.0193,False,True,False
64,0.97,0.1714,100,0.2829,0.0226,False,False,True
65,0.95,0.219,100,0.2535,0.0106,False,True,False
66,0.96,0.1969,100,0.284,0.0189,False,True,False
67,0.85,0.3589,100,0.2888,0.0251,True,False,False
68,0.81,0.3943,100,0.2421,0.0052,True,False,False
69,0.98,0.1407,100,0.2471,0.0072,True,False,False
