node_idx,correct_mean,correct_std,correct_count,probability_mean,probability_std,is_train_first,is_val_first,is_test_first
0,1.0,0.0,100,0.922,0.0231,True,False,False
1,1.0,0.0,100,0.8774,0.0224,True,False,False
2,1.0,0.0,100,0.8167,0.0393,True,False,False
3,1.0,0.0,100,0.8901,0.0245,True,False,False
4,1.0,0.0,100,0.7042,0.0354,True,False,False
5,1.0,0.0,100,0.8176,0.0353,True,False,False
6,1.0,0.0,100,0.687,0.0245,True,False,False
7,1.0,0.0,100,0.9076,0.0273,True,False,False
8,1.0,0.0,100,0.7433,0.0321,True,False,False
9,1.0,0.0,100,0.9306,0.0192,True,False,False
10,1.0,0.0,100,0.8647,0.024,True,False,False
11,1.0,0.0,100,0.4814,0.0278,True,False,False
12,1.0,0.0,100,0.9959,0.004,True,False,False
13,1.0,0.0,100,0.4857,0.0504,True,False,False
14,1.0,0.0,100,0.679,0.0286,True,False,False
15,1.0,0.0,100,0.7041,0.0283,True,False,False
16,1.0,0.0,100,0.8949,0.0264,True,False,False
17,1.0,0.0,100,0.8794,0.023,True,False,False
18,1.0,0.0,100,0.9761,0.0094,True,False,False
19,1.0,0.0,100,0.717,0.0349,True,False,False
20,1.0,0.0,100,0.7957,0.0322,True,False,False
21,1.0,0.0,100,0.7233,0.0354,True,False,False
22,1.0,0.0,100,0.8377,0.0201,True,False,False
23,1.0,0.0,100,0.7413,0.0325,True,False,False
24,1.0,0.0,100,0.9256,0.0218,True,False,False
25,1.0,0.0,100,0.7213,0.0288,True,False,False
26,1.0,0.0,100,0.946,0.0128,True,False,False
27,1.0,0.0,100,0.7262,0.0318,True,False,False
28,1.0,0.0,100,0.7428,0.0248,True,False,False
29,1.0,0.0,100,0.836,0.0272,True,False,False
30,1.0,0.0,100,0.5805,0.0383,True,False,False
31,1.0,0.0,100,0.9029,0.0239,True,False,False
32,1.0,0.0,100,0.5191,0.0264,True,False,False
33,1.0,0.0,100,0.8868,0.0247,True,False,False
34,1.0,0.0,100,0.6038,0.0575,True,False,False
35,1.0,0.0,100,0.5284,0.0291,True,False,False
36,1.0,0.0,100,0.887,0.022,True,False,False
37,1.0,0.0,100,0.8073,0.0424,True,False,False
38,1.0,0.0,100,0.6637,0.0236,True,False,False
39,1.0,0.0,100,0.9111,0.0204,True,False,False
40,1.0,0.0,100,0.8027,0.0299,True,False,False
41,1.0,0.0,100,0.6121,0.0352,True,False,False
42,1.0,0.0,100,0.941,0.0164,True,False,False
43,1.0,0.0,100,0.8519,0.0189,True,False,False
44,1.0,0.0,100,0.9376,0.024,True,False,False
45,1.0,0.0,100,0.6895,0.036,True,False,False
46,1.0,0.0,100,0.9805,0.0134,True,False,False
47,1.0,0.0,100,0.9519,0.0196,True,False,False
48,1.0,0.0,100,0.7023,0.0452,True,False,False
49,0.52,0.5021,100,0.3529,0.0324,True,False,False
50,1.0,0.0,100,0.6665,0.0314,True,False,False
51,1.0,0.0,100,0.7868,0.0373,True,False,False
52,1.0,0.0,100,0.9388,0.0144,True,False,False
53,1.0,0.0,100,0.8072,0.0226,True,False,False
54,1.0,0.0,100,0.7219,0.0291,True,False,False
55,1.0,0.0,100,0.5754,0.0464,True,False,False
56,1.0,0.0,100,0.8591,0.0205,True,False,False
57,0.91,0.2876,100,0.2852,0.0471,True,False,False
58,1.0,0.0,100,0.7817,0.0241,True,False,False
59,1.0,0.0,100,0.9024,0.0345,True,False,False
60,1.0,0.0,100,0.5951,0.031,True,False,False
61,1.0,0.0,100,0.5685,0.0313,True,False,False
62,1.0,0.0,100,0.5911,0.0413,True,False,False
63,1.0,0.0,100,0.7851,0.0289,True,False,False
64,1.0,0.0,100,0.8247,0.0236,True,False,False
65,1.0,0.0,100,0.6522,0.0389,True,False,False
66,1.0,0.0,100,0.9642,0.0191,True,False,False
67,1.0,0.0,100,0.9663,0.0142,True,False,False
68,1.0,0.0,100,0.6695,0.0249,True,False,False
69,1.0,0.0,100,0.5129,0.0346,True,False,False
70,1.0,0.0,100,0.8202,0.0222,True,False,False
71,1.0,0.0,100,0.7558,0.0402,True,False,False
72,1.0,0.0,100,0.7412,0.0252,True,False,False
73,1.0,0.0,100,0.8469,0.0404,True,False,False
74,1.0,0.0,100,0.8185,0.0245,True,False,False
75,1.0,0.0,100,0.7796,0.032,True,False,False
76,1.0,0.0,100,0.4115,0.035,True,False,False
77,1.0,0.0,100,0.7117,0.0305,True,False,False
78,1.0,0.0,100,0.7785,0.0312,True,False,False
79,1.0,0.0,100,0.484,0.0285,True,False,False
80,1.0,0.0,100,0.8614,0.0174,True,False,False
81,1.0,0.0,100,0.8341,0.0202,True,False,False
82,1.0,0.0,100,0.76,0.0245,True,False,False
83,1.0,0.0,100,0.851,0.0196,True,False,False
84,1.0,0.0,100,0.7463,0.0314,True,False,False
85,1.0,0.0,100,0.8434,0.0255,True,False,False
86,1.0,0.0,100,0.4755,0.0244,True,False,False
87,1.0,0.0,100,0.8326,0.0222,True,False,False
88,1.0,0.0,100,0.8493,0.0521,True,False,False
89,1.0,0.0,100,0.8953,0.0247,True,False,False
90,1.0,0.0,100,0.8069,0.0279,True,False,False
91,1.0,0.0,100,0.8012,0.0234,True,False,False
92,1.0,0.0,100,0.8556,0.023,True,False,False
93,1.0,0.0,100,0.9265,0.0157,True,False,False
94,1.0,0.0,100,0.8055,0.0368,True,False,False
95,1.0,0.0,100,0.9591,0.0207,True,False,False
96,1.0,0.0,100,0.6438,0.0341,True,False,False
97,1.0,0.0,100,0.803,0.0199,True,False,False
98,1.0,0.0,100,0.7815,0.029,True,False,False
99,1.0,0.0,100,0.9735,0.01,True,False,False
100,1.0,0.0,100,0.6091,0.0325,True,False,False
101,1.0,0.0,100,0.6152,0.0264,True,False,False
102,1.0,0.0,100,0.7401,0.0313,True,False,False
103,1.0,0.0,100,0.8275,0.0224,True,False,False
104,1.0,0.0,100,0.9087,0.019,True,False,False
105,1.0,0.0,100,0.8285,0.021,True,False,False
106,1.0,0.0,100,0.9583,0.0155,True,False,False
107,1.0,0.0,100,0.885,0.0219,True,False,False
108,1.0,0.0,100,0.8488,0.0258,True,False,False
109,1.0,0.0,100,0.9419,0.0424,True,False,False
110,1.0,0.0,100,0.8349,0.035,True,False,False
111,1.0,0.0,100,0.9771,0.0146,True,False,False
112,1.0,0.0,100,0.7094,0.0249,True,False,False
113,1.0,0.0,100,0.9056,0.017,True,False,False
114,1.0,0.0,100,0.807,0.0318,True,False,False
115,1.0,0.0,100,0.3697,0.0565,True,False,False
116,1.0,0.0,100,0.8127,0.0291,True,False,False
117,1.0,0.0,100,0.9201,0.0234,True,False,False
118,1.0,0.0,100,0.802,0.0545,True,False,False
119,1.0,0.0,100,0.9293,0.0212,True,False,False
120,1.0,0.0,100,0.6742,0.0327,True,False,False
121,1.0,0.0,100,0.8312,0.0242,True,False,False
122,1.0,0.0,100,0.9193,0.0137,True,False,False
123,1.0,0.0,100,0.9472,0.0129,True,False,False
124,1.0,0.0,100,0.7611,0.0237,True,False,False
125,1.0,0.0,100,0.8427,0.0216,True,False,False
126,1.0,0.0,100,0.8028,0.022,True,False,False
127,1.0,0.0,100,0.7596,0.0221,True,False,False
128,1.0,0.0,100,0.8849,0.0219,True,False,False
129,1.0,0.0,100,0.8239,0.0217,True,False,False
130,1.0,0.0,100,0.4978,0.0296,True,False,False
131,1.0,0.0,100,0.7288,0.0379,True,False,False
132,1.0,0.0,100,0.9241,0.0201,True,False,False
133,1.0,0.0,100,0.8912,0.0213,True,False,False
134,1.0,0.0,100,0.7063,0.0303,True,False,False
135,1.0,0.0,100,0.8241,0.0196,True,False,False
136,1.0,0.0,100,0.6644,0.0345,True,False,False
137,1.0,0.0,100,0.9475,0.0122,True,False,False
138,1.0,0.0,100,0.5893,0.0362,True,False,False
139,1.0,0.0,100,0.9017,0.0168,True,False,False
140,1.0,0.0,100,0.4898,0.044,False,True,False
141,0.0,0.0,100,0.3801,0.0345,False,True,False
142,1.0,0.0,100,0.8206,0.019,False,True,False
143,1.0,0.0,100,0.5995,0.0361,False,True,False
144,1.0,0.0,100,0.7129,0.0344,False,True,False
145,1.0,0.0,100,0.5689,0.0675,False,True,False
146,1.0,0.0,100,0.4313,0.0343,False,True,False
147,0.07,0.2564,100,0.2354,0.0205,False,True,False
148,1.0,0.0,100,0.7081,0.053,False,True,False
149,1.0,0.0,100,0.4546,0.0307,False,True,False
150,1.0,0.0,100,0.4358,0.0285,False,True,False
151,1.0,0.0,100,0.5688,0.0341,False,True,False
152,1.0,0.0,100,0.7541,0.0263,False,True,False
153,1.0,0.0,100,0.7837,0.0207,False,True,False
154,1.0,0.0,100,0.8109,0.095,False,True,False
155,1.0,0.0,100,0.7757,0.0785,False,True,False
156,1.0,0.0,100,0.7988,0.0622,False,True,False
157,1.0,0.0,100,0.5312,0.0299,False,True,False
158,1.0,0.0,100,0.4812,0.0254,False,True,False
159,1.0,0.0,100,0.4869,0.0331,False,True,False
160,1.0,0.0,100,0.3723,0.0341,False,True,False
161,0.04,0.1969,100,0.3686,0.0724,False,True,False
162,0.06,0.2387,100,0.3071,0.0253,False,True,False
163,1.0,0.0,100,0.7171,0.0445,False,True,False
164,0.21,0.4094,100,0.2245,0.024,False,True,False
165,1.0,0.0,100,0.6782,0.0284,False,True,False
166,0.95,0.219,100,0.2339,0.0198,False,True,False
167,0.03,0.1714,100,0.3169,0.0317,False,True,False
168,0.04,0.1969,100,0.2977,0.0261,False,True,False
169,1.0,0.0,100,0.454,0.0442,False,True,False
170,1.0,0.0,100,0.6884,0.035,False,True,False
171,1.0,0.0,100,0.4645,0.0307,False,True,False
172,0.0,0.0,100,0.6666,0.0294,False,True,False
173,1.0,0.0,100,0.8145,0.0324,False,True,False
174,1.0,0.0,100,0.7049,0.03,False,True,False
175,1.0,0.0,100,0.8701,0.0381,False,True,False
176,0.32,0.4688,100,0.2768,0.0292,False,True,False
177,1.0,0.0,100,0.5317,0.0412,False,True,False
178,1.0,0.0,100,0.484,0.0521,False,True,False
179,1.0,0.0,100,0.3296,0.0258,False,True,False
180,1.0,0.0,100,0.6691,0.067,False,True,False
181,1.0,0.0,100,0.5545,0.0259,False,True,False
182,1.0,0.0,100,0.897,0.0267,False,True,False
183,1.0,0.0,100,0.8434,0.0301,False,True,False
184,0.0,0.0,100,0.7197,0.058,False,True,False
185,0.97,0.1714,100,0.3885,0.0566,False,True,False
186,0.09,0.2876,100,0.4641,0.059,False,True,False
187,1.0,0.0,100,0.4319,0.0631,False,True,False
188,1.0,0.0,100,0.6502,0.0277,False,True,False
189,1.0,0.0,100,0.7207,0.0279,False,True,False
190,1.0,0.0,100,0.8951,0.0377,False,True,False
191,0.0,0.0,100,0.2793,0.0266,False,True,False
192,0.01,0.1,100,0.2577,0.0298,False,True,False
193,1.0,0.0,100,0.8558,0.0202,False,True,False
194,1.0,0.0,100,0.8733,0.0325,False,True,False
195,1.0,0.0,100,0.6148,0.0347,False,True,False
196,1.0,0.0,100,0.6598,0.0281,False,True,False
197,1.0,0.0,100,0.4634,0.033,False,True,False
198,1.0,0.0,100,0.5936,0.0528,False,True,False
199,1.0,0.0,100,0.3758,0.0421,False,True,False
200,1.0,0.0,100,0.3766,0.0433,False,True,False
201,1.0,0.0,100,0.7815,0.0377,False,True,False
202,1.0,0.0,100,0.8252,0.064,False,True,False
203,1.0,0.0,100,0.4726,0.0451,False,True,False
204,0.78,0.4163,100,0.2767,0.0473,False,True,False
205,0.97,0.1714,100,0.3169,0.0493,False,True,False
206,1.0,0.0,100,0.6992,0.0272,False,True,False
207,1.0,0.0,100,0.484,0.0521,False,True,False
208,0.14,0.3487,100,0.4502,0.086,False,True,False
209,0.27,0.4462,100,0.2921,0.0376,False,True,False
210,0.48,0.5021,100,0.3678,0.0408,False,True,False
211,1.0,0.0,100,0.6019,0.0426,False,True,False
212,1.0,0.0,100,0.2771,0.0283,False,True,False
213,1.0,0.0,100,0.6898,0.0354,False,True,False
214,0.98,0.1407,100,0.3317,0.0433,False,True,False
215,1.0,0.0,100,0.3712,0.0375,False,True,False
216,1.0,0.0,100,0.4066,0.0536,False,True,False
217,1.0,0.0,100,0.8346,0.0254,False,True,False
218,0.93,0.2564,100,0.579,0.0944,False,True,False
219,1.0,0.0,100,0.3868,0.0393,False,True,False
220,1.0,0.0,100,0.609,0.0481,False,True,False
221,0.95,0.219,100,0.4497,0.0558,False,True,False
222,0.01,0.1,100,0.8059,0.1345,False,True,False
223,1.0,0.0,100,0.5488,0.0304,False,True,False
224,0.01,0.1,100,0.39,0.0491,False,True,False
225,0.0,0.0,100,0.3227,0.0455,False,True,False
226,1.0,0.0,100,0.3652,0.0687,False,True,False
227,1.0,0.0,100,0.7221,0.0343,False,True,False
228,1.0,0.0,100,0.6539,0.0543,False,True,False
229,1.0,0.0,100,0.4584,0.058,False,True,False
230,1.0,0.0,100,0.7753,0.0458,False,True,False
231,1.0,0.0,100,0.4473,0.0899,False,True,False
232,1.0,0.0,100,0.605,0.0258,False,True,False
233,1.0,0.0,100,0.6536,0.0501,False,True,False
234,1.0,0.0,100,0.5692,0.0367,False,True,False
235,1.0,0.0,100,0.3652,0.0687,False,True,False
236,1.0,0.0,100,0.7166,0.0553,False,True,False
237,1.0,0.0,100,0.7527,0.0518,False,True,False
238,1.0,0.0,100,0.6112,0.0407,False,True,False
239,1.0,0.0,100,0.5587,0.0734,False,True,False
240,0.0,0.0,100,0.7137,0.0293,False,True,False
241,1.0,0.0,100,0.6665,0.0314,False,True,False
242,1.0,0.0,100,0.404,0.0291,False,True,False
243,1.0,0.0,100,0.9513,0.0213,False,True,False
244,1.0,0.0,100,0.7141,0.0332,False,True,False
245,1.0,0.0,100,0.392,0.0476,False,True,False
246,1.0,0.0,100,0.8823,0.0304,False,True,False
247,1.0,0.0,100,0.7712,0.0407,False,True,False
248,0.87,0.338,100,0.3276,0.0377,False,True,False
249,1.0,0.0,100,0.7193,0.0267,False,True,False
250,0.01,0.1,100,0.4628,0.0686,False,True,False
251,1.0,0.0,100,0.4869,0.0346,False,True,False
252,0.15,0.3589,100,0.3059,0.0376,False,True,False
253,1.0,0.0,100,0.4053,0.0393,False,True,False
254,0.78,0.4163,100,0.2562,0.0292,False,True,False
255,0.06,0.2387,100,0.2924,0.0432,False,True,False
256,0.06,0.2387,100,0.2214,0.0334,False,True,False
257,1.0,0.0,100,0.8265,0.0201,False,True,False
258,1.0,0.0,100,0.9381,0.0204,False,True,False
259,1.0,0.0,100,0.8822,0.0336,False,True,False
260,0.01,0.1,100,0.3929,0.0561,False,True,False
261,1.0,0.0,100,0.4557,0.0181,False,True,False
262,1.0,0.0,100,0.4879,0.0474,False,True,False
263,1.0,0.0,100,0.7949,0.0237,False,True,False
264,1.0,0.0,100,0.6219,0.0227,False,True,False
265,1.0,0.0,100,0.6665,0.0314,False,True,False
266,1.0,0.0,100,0.3408,0.0364,False,True,False
267,0.0,0.0,100,0.3659,0.0727,False,True,False
268,1.0,0.0,100,0.5818,0.0515,False,True,False
269,1.0,0.0,100,0.7591,0.0684,False,True,False
270,1.0,0.0,100,0.6054,0.0381,False,True,False
271,1.0,0.0,100,0.5148,0.0648,False,True,False
272,0.5,0.5025,100,0.282,0.0437,False,True,False
273,1.0,0.0,100,0.3221,0.0289,False,True,False
274,1.0,0.0,100,0.345,0.036,False,True,False
275,1.0,0.0,100,0.5399,0.0419,False,True,False
276,1.0,0.0,100,0.5223,0.0347,False,True,False
277,0.0,0.0,100,0.2734,0.0306,False,True,False
278,0.04,0.1969,100,0.227,0.0318,False,True,False
279,1.0,0.0,100,0.6433,0.0764,False,True,False
280,0.81,0.3943,100,0.3271,0.0312,False,True,False
281,1.0,0.0,100,0.8329,0.0586,False,True,False
282,1.0,0.0,100,0.8597,0.0203,False,True,False
283,1.0,0.0,100,0.5068,0.033,False,True,False
284,1.0,0.0,100,0.8134,0.0344,False,True,False
285,0.0,0.0,100,0.3026,0.0231,False,True,False
286,1.0,0.0,100,0.6657,0.0313,False,True,False
287,0.0,0.0,100,0.723,0.0909,False,True,False
288,0.24,0.4292,100,0.2418,0.0219,False,True,False
289,1.0,0.0,100,0.333,0.0263,False,True,False
290,1.0,0.0,100,0.8112,0.0428,False,True,False
291,0.0,0.0,100,0.3675,0.0565,False,True,False
292,0.15,0.3589,100,0.3316,0.0558,False,True,False
293,0.06,0.2387,100,0.2968,0.0474,False,True,False
294,1.0,0.0,100,0.3308,0.0392,False,True,False
295,1.0,0.0,100,0.4017,0.0469,False,True,False
296,1.0,0.0,100,0.9323,0.0235,False,True,False
297,1.0,0.0,100,0.478,0.0202,False,True,False
298,1.0,0.0,100,0.7428,0.0396,False,True,False
299,0.91,0.2876,100,0.3646,0.0593,False,True,False
300,0.45,0.5,100,0.3658,0.0458,False,True,False
301,1.0,0.0,100,0.8028,0.0229,False,True,False
302,1.0,0.0,100,0.7711,0.0211,False,True,False
303,1.0,0.0,100,0.6977,0.0302,False,True,False
304,1.0,0.0,100,0.296,0.019,False,True,False
305,1.0,0.0,100,0.3844,0.0368,False,True,False
306,1.0,0.0,100,0.9778,0.0505,False,True,False
307,0.34,0.4761,100,0.6402,0.1541,False,True,False
308,1.0,0.0,100,0.7684,0.0207,False,True,False
309,0.17,0.3775,100,0.3674,0.0337,False,True,False
310,1.0,0.0,100,0.8915,0.0581,False,True,False
311,0.46,0.5009,100,0.4587,0.0686,False,True,False
312,1.0,0.0,100,0.4984,0.0326,False,True,False
313,1.0,0.0,100,0.6237,0.04,False,True,False
314,0.01,0.1,100,0.2473,0.0286,False,True,False
315,1.0,0.0,100,0.8856,0.0203,False,True,False
316,1.0,0.0,100,0.7292,0.0599,False,True,False
317,0.0,0.0,100,0.3459,0.0603,False,True,False
318,1.0,0.0,100,0.3953,0.0384,False,True,False
319,0.0,0.0,100,0.3868,0.0584,False,True,False
320,0.0,0.0,100,0.4344,0.0511,False,True,False
321,1.0,0.0,100,0.5912,0.0339,False,True,False
322,1.0,0.0,100,0.4773,0.0542,False,True,False
323,1.0,0.0,100,0.325,0.023,False,True,False
324,1.0,0.0,100,0.5028,0.0281,False,True,False
325,0.63,0.4852,100,0.2816,0.0394,False,True,False
326,1.0,0.0,100,0.8333,0.0296,False,True,False
327,1.0,0.0,100,0.963,0.0225,False,True,False
328,1.0,0.0,100,0.8562,0.0282,False,True,False
329,1.0,0.0,100,0.4316,0.0327,False,True,False
330,1.0,0.0,100,0.383,0.0376,False,True,False
